tag,task,benchmark_id,solver_id,solver_name,solver_version,benchmark_name,IPC
asc_mu_DSPR_ICCMAall_1200,DS-PR,1,1,mu-toksia-glucose,ICCMA23,iccma23,260.0281787594375
asc_mu_DSPR_ICCMAall_1200,DS-PR,1,6,asc_01,1.0,iccma23,320.2804581046088
asc_mu_DSPR_ICCMAall_1200,DS-PR,1,7,asc_02,1.0,iccma23,320.2904181495594
asc_mu_DSPR_ICCMAall_1200,DS-PR,1,8,asc_03,1.0,iccma23,320.2824663789729
asc_mu_DSPR_ICCMAall_1200,DS-PR,1,9,asc_04,1.0,iccma23,320.249942866015
asc_mu_DSPR_ICCMAall_1200,DS-PR,1,10,asc_05,1.0,iccma23,273.4607203379639
asc_mu_DSPR_ICCMAall_1200,DS-PR,1,11,asc_06,1.0,iccma23,266.3170903149567
asc_mu_DSPR_ICCMAall_1200,DS-PR,1,12,asc_07,1.0,iccma23,258.45369094675414
asc_mu_DSPR_ICCMAall_1200,DS-PR,1,13,asc_08,1.0,iccma23,264.19137034151606
asc_mu_DSPR_ICCMAall_1200,DS-PR,1,14,asc_09,1.0,iccma23,276.961682097452
asc_mu_DSPR_ICCMAall_1200,DS-PR,1,15,asc_10,1.0,iccma23,276.7161282046824
asc_mu_DSPR_ICCMAall_1200,DS-PR,2,1,mu-toksia-glucose,ICCMA23,iccma21,132.90695476461974
asc_mu_DSPR_ICCMAall_1200,DS-PR,2,6,asc_01,1.0,iccma21,409.22286479223317
asc_mu_DSPR_ICCMAall_1200,DS-PR,2,7,asc_02,1.0,iccma21,409.2079866988898
asc_mu_DSPR_ICCMAall_1200,DS-PR,2,8,asc_03,1.0,iccma21,409.2608597272251
asc_mu_DSPR_ICCMAall_1200,DS-PR,2,9,asc_04,1.0,iccma21,409.16482542774975
asc_mu_DSPR_ICCMAall_1200,DS-PR,2,10,asc_05,1.0,iccma21,218.50221752303815
asc_mu_DSPR_ICCMAall_1200,DS-PR,2,11,asc_06,1.0,iccma21,176.32603288175312
asc_mu_DSPR_ICCMAall_1200,DS-PR,2,12,asc_07,1.0,iccma21,173.33991429840324
asc_mu_DSPR_ICCMAall_1200,DS-PR,2,13,asc_08,1.0,iccma21,166.88554307968218
asc_mu_DSPR_ICCMAall_1200,DS-PR,2,14,asc_09,1.0,iccma21,171.4279514888055
asc_mu_DSPR_ICCMAall_1200,DS-PR,2,15,asc_10,1.0,iccma21,173.71150947247432
asc_mu_DSPR_ICCMAall_1200,DS-PR,3,1,mu-toksia-glucose,ICCMA23,iccma19,320.6900942815072
asc_mu_DSPR_ICCMAall_1200,DS-PR,3,6,asc_01,1.0,iccma19,326.0
asc_mu_DSPR_ICCMAall_1200,DS-PR,3,7,asc_02,1.0,iccma19,326.0
asc_mu_DSPR_ICCMAall_1200,DS-PR,3,8,asc_03,1.0,iccma19,326.0
asc_mu_DSPR_ICCMAall_1200,DS-PR,3,9,asc_04,1.0,iccma19,326.0
asc_mu_DSPR_ICCMAall_1200,DS-PR,3,10,asc_05,1.0,iccma19,325.7372664049584
asc_mu_DSPR_ICCMAall_1200,DS-PR,3,11,asc_06,1.0,iccma19,324.2250623249925
asc_mu_DSPR_ICCMAall_1200,DS-PR,3,12,asc_07,1.0,iccma19,323.61749376004497
asc_mu_DSPR_ICCMAall_1200,DS-PR,3,13,asc_08,1.0,iccma19,324.0064643019873
asc_mu_DSPR_ICCMAall_1200,DS-PR,3,14,asc_09,1.0,iccma19,324.09586528531827
asc_mu_DSPR_ICCMAall_1200,DS-PR,3,15,asc_10,1.0,iccma19,324.0814074738514
asc_mu_DSPR_ICCMAall_1200,DS-PR,4,1,mu-toksia-glucose,ICCMA23,iccma17,258.71373593717055
asc_mu_DSPR_ICCMAall_1200,DS-PR,4,6,asc_01,1.0,iccma17,348.7098337939765
asc_mu_DSPR_ICCMAall_1200,DS-PR,4,7,asc_02,1.0,iccma17,348.7160483379467
asc_mu_DSPR_ICCMAall_1200,DS-PR,4,8,asc_03,1.0,iccma17,344.1371592410821
asc_mu_DSPR_ICCMAall_1200,DS-PR,4,9,asc_04,1.0,iccma17,344.137685233377
asc_mu_DSPR_ICCMAall_1200,DS-PR,4,10,asc_05,1.0,iccma17,308.0780100098517
asc_mu_DSPR_ICCMAall_1200,DS-PR,4,11,asc_06,1.0,iccma17,275.7175823261979
asc_mu_DSPR_ICCMAall_1200,DS-PR,4,12,asc_07,1.0,iccma17,274.62500331793814
asc_mu_DSPR_ICCMAall_1200,DS-PR,4,13,asc_08,1.0,iccma17,280.71327756206813
asc_mu_DSPR_ICCMAall_1200,DS-PR,4,14,asc_09,1.0,iccma17,281.1186470780593
asc_mu_DSPR_ICCMAall_1200,DS-PR,4,15,asc_10,1.0,iccma17,281.064829169679
asc_mu_DSPR_ICCMAall_1200,DS-PR,5,1,mu-toksia-glucose,ICCMA23,iccma15,179.76252596183022
asc_mu_DSPR_ICCMAall_1200,DS-PR,5,6,asc_01,1.0,iccma15,192.0
asc_mu_DSPR_ICCMAall_1200,DS-PR,5,7,asc_02,1.0,iccma15,192.0
asc_mu_DSPR_ICCMAall_1200,DS-PR,5,8,asc_03,1.0,iccma15,192.0
asc_mu_DSPR_ICCMAall_1200,DS-PR,5,9,asc_04,1.0,iccma15,192.0
asc_mu_DSPR_ICCMAall_1200,DS-PR,5,10,asc_05,1.0,iccma15,189.5688906900342
asc_mu_DSPR_ICCMAall_1200,DS-PR,5,11,asc_06,1.0,iccma15,184.94461324276347
asc_mu_DSPR_ICCMAall_1200,DS-PR,5,12,asc_07,1.0,iccma15,183.69146821747688
asc_mu_DSPR_ICCMAall_1200,DS-PR,5,13,asc_08,1.0,iccma15,185.02049901118502
asc_mu_DSPR_ICCMAall_1200,DS-PR,5,14,asc_09,1.0,iccma15,191.00114377577924
asc_mu_DSPR_ICCMAall_1200,DS-PR,5,15,asc_10,1.0,iccma15,190.97595175598366
