tag,task,benchmark_id,solver_id,solved,solver_name,solver_version,benchmark_name
asc_mu_DSPR_ICCMAall_1200,DS-PR,1,1,299.0,mu-toksia-glucose,ICCMA23,iccma23
asc_mu_DSPR_ICCMAall_1200,DS-PR,1,6,329.0,asc_01,1.0,iccma23
asc_mu_DSPR_ICCMAall_1200,DS-PR,1,7,329.0,asc_02,1.0,iccma23
asc_mu_DSPR_ICCMAall_1200,DS-PR,1,8,329.0,asc_03,1.0,iccma23
asc_mu_DSPR_ICCMAall_1200,DS-PR,1,9,329.0,asc_04,1.0,iccma23
asc_mu_DSPR_ICCMAall_1200,DS-PR,1,10,314.0,asc_05,1.0,iccma23
asc_mu_DSPR_ICCMAall_1200,DS-PR,1,11,313.0,asc_06,1.0,iccma23
asc_mu_DSPR_ICCMAall_1200,DS-PR,1,12,306.0,asc_07,1.0,iccma23
asc_mu_DSPR_ICCMAall_1200,DS-PR,1,13,311.0,asc_08,1.0,iccma23
asc_mu_DSPR_ICCMAall_1200,DS-PR,1,14,325.0,asc_09,1.0,iccma23
asc_mu_DSPR_ICCMAall_1200,DS-PR,1,15,325.0,asc_10,1.0,iccma23
asc_mu_DSPR_ICCMAall_1200,DS-PR,2,1,377.0,mu-toksia-glucose,ICCMA23,iccma21
asc_mu_DSPR_ICCMAall_1200,DS-PR,2,6,480.0,asc_01,1.0,iccma21
asc_mu_DSPR_ICCMAall_1200,DS-PR,2,7,480.0,asc_02,1.0,iccma21
asc_mu_DSPR_ICCMAall_1200,DS-PR,2,8,480.0,asc_03,1.0,iccma21
asc_mu_DSPR_ICCMAall_1200,DS-PR,2,9,480.0,asc_04,1.0,iccma21
asc_mu_DSPR_ICCMAall_1200,DS-PR,2,10,477.0,asc_05,1.0,iccma21
asc_mu_DSPR_ICCMAall_1200,DS-PR,2,11,452.0,asc_06,1.0,iccma21
asc_mu_DSPR_ICCMAall_1200,DS-PR,2,12,450.0,asc_07,1.0,iccma21
asc_mu_DSPR_ICCMAall_1200,DS-PR,2,13,450.0,asc_08,1.0,iccma21
asc_mu_DSPR_ICCMAall_1200,DS-PR,2,14,468.0,asc_09,1.0,iccma21
asc_mu_DSPR_ICCMAall_1200,DS-PR,2,15,468.0,asc_10,1.0,iccma21
asc_mu_DSPR_ICCMAall_1200,DS-PR,3,1,326.0,mu-toksia-glucose,ICCMA23,iccma19
asc_mu_DSPR_ICCMAall_1200,DS-PR,3,6,326.0,asc_01,1.0,iccma19
asc_mu_DSPR_ICCMAall_1200,DS-PR,3,7,326.0,asc_02,1.0,iccma19
asc_mu_DSPR_ICCMAall_1200,DS-PR,3,8,326.0,asc_03,1.0,iccma19
asc_mu_DSPR_ICCMAall_1200,DS-PR,3,9,326.0,asc_04,1.0,iccma19
asc_mu_DSPR_ICCMAall_1200,DS-PR,3,10,326.0,asc_05,1.0,iccma19
asc_mu_DSPR_ICCMAall_1200,DS-PR,3,11,326.0,asc_06,1.0,iccma19
asc_mu_DSPR_ICCMAall_1200,DS-PR,3,12,326.0,asc_07,1.0,iccma19
asc_mu_DSPR_ICCMAall_1200,DS-PR,3,13,326.0,asc_08,1.0,iccma19
asc_mu_DSPR_ICCMAall_1200,DS-PR,3,14,326.0,asc_09,1.0,iccma19
asc_mu_DSPR_ICCMAall_1200,DS-PR,3,15,326.0,asc_10,1.0,iccma19
asc_mu_DSPR_ICCMAall_1200,DS-PR,4,1,309.0,mu-toksia-glucose,ICCMA23,iccma17
asc_mu_DSPR_ICCMAall_1200,DS-PR,4,6,350.0,asc_01,1.0,iccma17
asc_mu_DSPR_ICCMAall_1200,DS-PR,4,7,350.0,asc_02,1.0,iccma17
asc_mu_DSPR_ICCMAall_1200,DS-PR,4,8,349.0,asc_03,1.0,iccma17
asc_mu_DSPR_ICCMAall_1200,DS-PR,4,9,349.0,asc_04,1.0,iccma17
asc_mu_DSPR_ICCMAall_1200,DS-PR,4,10,336.0,asc_05,1.0,iccma17
asc_mu_DSPR_ICCMAall_1200,DS-PR,4,11,327.0,asc_06,1.0,iccma17
asc_mu_DSPR_ICCMAall_1200,DS-PR,4,12,327.0,asc_07,1.0,iccma17
asc_mu_DSPR_ICCMAall_1200,DS-PR,4,13,327.0,asc_08,1.0,iccma17
asc_mu_DSPR_ICCMAall_1200,DS-PR,4,14,329.0,asc_09,1.0,iccma17
asc_mu_DSPR_ICCMAall_1200,DS-PR,4,15,329.0,asc_10,1.0,iccma17
asc_mu_DSPR_ICCMAall_1200,DS-PR,5,1,192.0,mu-toksia-glucose,ICCMA23,iccma15
asc_mu_DSPR_ICCMAall_1200,DS-PR,5,6,192.0,asc_01,1.0,iccma15
asc_mu_DSPR_ICCMAall_1200,DS-PR,5,7,192.0,asc_02,1.0,iccma15
asc_mu_DSPR_ICCMAall_1200,DS-PR,5,8,192.0,asc_03,1.0,iccma15
asc_mu_DSPR_ICCMAall_1200,DS-PR,5,9,192.0,asc_04,1.0,iccma15
asc_mu_DSPR_ICCMAall_1200,DS-PR,5,10,192.0,asc_05,1.0,iccma15
asc_mu_DSPR_ICCMAall_1200,DS-PR,5,11,192.0,asc_06,1.0,iccma15
asc_mu_DSPR_ICCMAall_1200,DS-PR,5,12,192.0,asc_07,1.0,iccma15
asc_mu_DSPR_ICCMAall_1200,DS-PR,5,13,192.0,asc_08,1.0,iccma15
asc_mu_DSPR_ICCMAall_1200,DS-PR,5,14,192.0,asc_09,1.0,iccma15
asc_mu_DSPR_ICCMAall_1200,DS-PR,5,15,192.0,asc_10,1.0,iccma15
