tag,task,benchmark_id,solver_id,solver_name,solver_version,benchmark_name,PAR10
asc_mu_DSPR_ICCMAall_1200,DS-PR,1,1,mu-toksia-glucose,ICCMA23,iccma23,1114.931481312428
asc_mu_DSPR_ICCMAall_1200,DS-PR,1,6,asc_01,1.0,iccma23,0.8643839322143775
asc_mu_DSPR_ICCMAall_1200,DS-PR,1,7,asc_02,1.0,iccma23,0.8631907393957706
asc_mu_DSPR_ICCMAall_1200,DS-PR,1,8,asc_03,1.0,iccma23,0.8747398346481352
asc_mu_DSPR_ICCMAall_1200,DS-PR,1,9,asc_04,1.0,iccma23,0.8746434816564108
asc_mu_DSPR_ICCMAall_1200,DS-PR,1,10,asc_05,1.0,iccma23,581.9339776538244
asc_mu_DSPR_ICCMAall_1200,DS-PR,1,11,asc_06,1.0,iccma23,628.4762354956935
asc_mu_DSPR_ICCMAall_1200,DS-PR,1,12,asc_07,1.0,iccma23,883.4576371516863
asc_mu_DSPR_ICCMAall_1200,DS-PR,1,13,asc_08,1.0,iccma23,702.3538564502921
asc_mu_DSPR_ICCMAall_1200,DS-PR,1,14,asc_09,1.0,iccma23,189.5690355948583
asc_mu_DSPR_ICCMAall_1200,DS-PR,1,15,asc_10,1.0,iccma23,189.70946550215268
asc_mu_DSPR_ICCMAall_1200,DS-PR,2,1,mu-toksia-glucose,ICCMA23,iccma21,2765.7196967671935
asc_mu_DSPR_ICCMAall_1200,DS-PR,2,6,asc_01,1.0,iccma21,4.5824011767903965
asc_mu_DSPR_ICCMAall_1200,DS-PR,2,7,asc_02,1.0,iccma21,4.58323112896954
asc_mu_DSPR_ICCMAall_1200,DS-PR,2,8,asc_03,1.0,iccma21,4.583132812442879
asc_mu_DSPR_ICCMAall_1200,DS-PR,2,9,asc_04,1.0,iccma21,4.586987257345269
asc_mu_DSPR_ICCMAall_1200,DS-PR,2,10,asc_05,1.0,iccma21,159.44168184287847
asc_mu_DSPR_ICCMAall_1200,DS-PR,2,11,asc_06,1.0,iccma21,848.5080240189719
asc_mu_DSPR_ICCMAall_1200,DS-PR,2,12,asc_07,1.0,iccma21,901.8911263277133
asc_mu_DSPR_ICCMAall_1200,DS-PR,2,13,asc_08,1.0,iccma21,922.208008335034
asc_mu_DSPR_ICCMAall_1200,DS-PR,2,14,asc_09,1.0,iccma21,458.1023451163123
