tag,task,benchmark_id,solver_id,solver_name,solver_version,benchmark_name,mean
asc_mu_DSPR_ICCMAall_1200,DS-PR,1,1,mu-toksia-glucose,ICCMA23,iccma23,130.12904970148594
asc_mu_DSPR_ICCMAall_1200,DS-PR,1,6,asc_01,1.0,iccma23,0.8643839322143775
asc_mu_DSPR_ICCMAall_1200,DS-PR,1,7,asc_02,1.0,iccma23,0.8631907393957706
asc_mu_DSPR_ICCMAall_1200,DS-PR,1,8,asc_03,1.0,iccma23,0.8747398346481352
asc_mu_DSPR_ICCMAall_1200,DS-PR,1,9,asc_04,1.0,iccma23,0.8746434816564108
asc_mu_DSPR_ICCMAall_1200,DS-PR,1,10,asc_05,1.0,iccma23,89.53276184835333
asc_mu_DSPR_ICCMAall_1200,DS-PR,1,11,asc_06,1.0,iccma23,103.24827196985756
asc_mu_DSPR_ICCMAall_1200,DS-PR,1,12,asc_07,1.0,iccma23,128.4424395832972
asc_mu_DSPR_ICCMAall_1200,DS-PR,1,13,asc_08,1.0,iccma23,111.47239748372677
asc_mu_DSPR_ICCMAall_1200,DS-PR,1,14,asc_09,1.0,iccma23,58.262044713399334
asc_mu_DSPR_ICCMAall_1200,DS-PR,1,15,asc_10,1.0,iccma23,58.402474620693724
asc_mu_DSPR_ICCMAall_1200,DS-PR,2,1,mu-toksia-glucose,ICCMA23,iccma21,448.21969676719357
asc_mu_DSPR_ICCMAall_1200,DS-PR,2,6,asc_01,1.0,iccma21,4.5824011767903965
asc_mu_DSPR_ICCMAall_1200,DS-PR,2,7,asc_02,1.0,iccma21,4.58323112896954
asc_mu_DSPR_ICCMAall_1200,DS-PR,2,8,asc_03,1.0,iccma21,4.583132812442879
asc_mu_DSPR_ICCMAall_1200,DS-PR,2,9,asc_04,1.0,iccma21,4.586987257345269
asc_mu_DSPR_ICCMAall_1200,DS-PR,2,10,asc_05,1.0,iccma21,91.94168184287847
asc_mu_DSPR_ICCMAall_1200,DS-PR,2,11,asc_06,1.0,iccma21,218.50802401897187
asc_mu_DSPR_ICCMAall_1200,DS-PR,2,12,asc_07,1.0,iccma21,226.89112632771332
asc_mu_DSPR_ICCMAall_1200,DS-PR,2,13,asc_08,1.0,iccma21,247.20800833503407
asc_mu_DSPR_ICCMAall_1200,DS-PR,2,14,asc_09,1.0,iccma21,188.1023451163123
asc_mu_DSPR_ICCMAall_1200,DS-PR,2,15,asc_10,1.0,iccma21,185.10527873163423
asc_mu_DSPR_ICCMAall_1200,DS-PR,3,1,mu-toksia-glucose,ICCMA23,iccma19,0.5208212745153099
asc_mu_DSPR_ICCMAall_1200,DS-PR,3,6,asc_01,1.0,iccma19,0.09091954554882513
asc_mu_DSPR_ICCMAall_1200,DS-PR,3,7,asc_02,1.0,iccma19,0.09147538994353237
asc_mu_DSPR_ICCMAall_1200,DS-PR,3,8,asc_03,1.0,iccma19,0.10327734597073006
asc_mu_DSPR_ICCMAall_1200,DS-PR,3,9,asc_04,1.0,iccma19,0.10342682591793723
asc_mu_DSPR_ICCMAall_1200,DS-PR,3,10,asc_05,1.0,iccma19,0.1597846898198859
asc_mu_DSPR_ICCMAall_1200,DS-PR,3,11,asc_06,1.0,iccma19,0.2605860946368586
asc_mu_DSPR_ICCMAall_1200,DS-PR,3,12,asc_07,1.0,iccma19,0.3107790956559357
asc_mu_DSPR_ICCMAall_1200,DS-PR,3,13,asc_08,1.0,iccma19,0.27603966239954064
asc_mu_DSPR_ICCMAall_1200,DS-PR,3,14,asc_09,1.0,iccma19,0.30290624330197374
asc_mu_DSPR_ICCMAall_1200,DS-PR,3,15,asc_10,1.0,iccma19,0.3048226316830863
asc_mu_DSPR_ICCMAall_1200,DS-PR,4,1,mu-toksia-glucose,ICCMA23,iccma17,174.56937700186458
asc_mu_DSPR_ICCMAall_1200,DS-PR,4,6,asc_01,1.0,iccma17,0.1910665592551231
asc_mu_DSPR_ICCMAall_1200,DS-PR,4,7,asc_02,1.0,iccma17,0.18995103005852018
asc_mu_DSPR_ICCMAall_1200,DS-PR,4,8,asc_03,1.0,iccma17,9.578649694834438
asc_mu_DSPR_ICCMAall_1200,DS-PR,4,9,asc_04,1.0,iccma17,9.608779128491879
asc_mu_DSPR_ICCMAall_1200,DS-PR,4,10,asc_05,1.0,iccma17,58.15639587772744
asc_mu_DSPR_ICCMAall_1200,DS-PR,4,11,asc_06,1.0,iccma17,113.10974052263158
asc_mu_DSPR_ICCMAall_1200,DS-PR,4,12,asc_07,1.0,iccma17,109.18449570681368
asc_mu_DSPR_ICCMAall_1200,DS-PR,4,13,asc_08,1.0,iccma17,110.99305155996765
asc_mu_DSPR_ICCMAall_1200,DS-PR,4,14,asc_09,1.0,iccma17,102.52968990687813
asc_mu_DSPR_ICCMAall_1200,DS-PR,4,15,asc_10,1.0,iccma17,102.62753105687244
asc_mu_DSPR_ICCMAall_1200,DS-PR,5,1,mu-toksia-glucose,ICCMA23,iccma15,4.331101906097804
asc_mu_DSPR_ICCMAall_1200,DS-PR,5,6,asc_01,1.0,iccma15,0.0956989895397176
asc_mu_DSPR_ICCMAall_1200,DS-PR,5,7,asc_02,1.0,iccma15,0.09631286460595823
asc_mu_DSPR_ICCMAall_1200,DS-PR,5,8,asc_03,1.0,iccma15,0.10001042368821798
asc_mu_DSPR_ICCMAall_1200,DS-PR,5,9,asc_04,1.0,iccma15,0.09965377471720177
asc_mu_DSPR_ICCMAall_1200,DS-PR,5,10,asc_05,1.0,iccma15,0.4470470102969557
asc_mu_DSPR_ICCMAall_1200,DS-PR,5,11,asc_06,1.0,iccma15,1.548827496667703
asc_mu_DSPR_ICCMAall_1200,DS-PR,5,12,asc_07,1.0,iccma15,1.6992282629944384
asc_mu_DSPR_ICCMAall_1200,DS-PR,5,13,asc_08,1.0,iccma15,1.5393594038517524
asc_mu_DSPR_ICCMAall_1200,DS-PR,5,14,asc_09,1.0,iccma15,0.2954358996357769
asc_mu_DSPR_ICCMAall_1200,DS-PR,5,15,asc_10,1.0,iccma15,0.298060479418685
