solver_name,task,benchmark_name,number_instances,number_empty,number_yes,number_no
asc_01,DS-PR,iccma15,192,166,0,26
asc_01,DS-PR,iccma17,350,305,0,45
asc_01,DS-PR,iccma19,326,269,0,57
asc_01,DS-PR,iccma21,480,480,0,0
asc_01,DS-PR,iccma23,329,329,0,0
asc_02,DS-PR,iccma15,192,187,5,0
asc_02,DS-PR,iccma17,350,343,7,0
asc_02,DS-PR,iccma19,326,310,16,0
asc_02,DS-PR,iccma21,480,480,0,0
asc_02,DS-PR,iccma23,329,329,0,0
asc_03,DS-PR,iccma15,192,184,8,0
asc_03,DS-PR,iccma17,350,318,32,0
asc_03,DS-PR,iccma19,326,292,34,0
asc_03,DS-PR,iccma21,480,480,0,0
asc_03,DS-PR,iccma23,329,310,19,0
asc_04,DS-PR,iccma15,192,108,0,84
asc_04,DS-PR,iccma17,350,282,0,68
asc_04,DS-PR,iccma19,326,207,0,119
asc_04,DS-PR,iccma21,480,480,0,0
asc_04,DS-PR,iccma23,329,267,0,62
asc_05,DS-PR,iccma15,192,17,0,175
asc_05,DS-PR,iccma17,350,156,0,194
asc_05,DS-PR,iccma19,326,177,0,149
asc_05,DS-PR,iccma21,480,124,0,356
asc_05,DS-PR,iccma23,329,168,0,161
asc_06,DS-PR,iccma15,192,69,0,123
asc_06,DS-PR,iccma17,350,149,0,201
asc_06,DS-PR,iccma19,326,42,0,284
asc_06,DS-PR,iccma21,480,30,0,450
asc_06,DS-PR,iccma23,329,113,0,216
asc_07,DS-PR,iccma15,192,121,0,71
asc_07,DS-PR,iccma17,350,186,0,164
asc_07,DS-PR,iccma19,326,102,0,224
asc_07,DS-PR,iccma21,480,37,0,443
asc_07,DS-PR,iccma23,329,178,0,151
asc_08,DS-PR,iccma15,192,66,0,126
asc_08,DS-PR,iccma17,350,150,0,200
asc_08,DS-PR,iccma19,326,42,0,284
asc_08,DS-PR,iccma21,480,32,0,448
asc_08,DS-PR,iccma23,329,114,0,215
asc_09,DS-PR,iccma15,192,183,9,0
asc_09,DS-PR,iccma17,350,315,35,0
asc_09,DS-PR,iccma19,326,290,36,0
asc_09,DS-PR,iccma21,480,480,0,0
asc_09,DS-PR,iccma23,329,299,30,0
asc_10,DS-PR,iccma15,192,183,9,0
asc_10,DS-PR,iccma17,350,313,37,0
asc_10,DS-PR,iccma19,326,289,37,0
asc_10,DS-PR,iccma21,480,480,0,0
asc_10,DS-PR,iccma23,329,297,32,0
mu-toksia-glucose,DS-PR,iccma15,192,0,14,178
mu-toksia-glucose,DS-PR,iccma17,350,41,36,273
mu-toksia-glucose,DS-PR,iccma19,326,0,39,287
mu-toksia-glucose,DS-PR,iccma21,480,103,0,377
mu-toksia-glucose,DS-PR,iccma23,329,30,32,267
