solver_name,task,benchmark_name,instance,answer
solution,DS-PR,iccma15,1004485__826_8__0_1_4__-1244770945,NO
solution,DS-PR,iccma15,105005__283_61__0_2_288__1501667607,NO
solution,DS-PR,iccma15,1066801__777_18__0_4_9__1685411540,NO
solution,DS-PR,iccma15,10999075__461_395__24_24_324__237573662,NO
solution,DS-PR,iccma15,110153__319_75__0_3_152__-1738801068,NO
solution,DS-PR,iccma15,1135945__141_105__32_40_360__1726661898,NO
solution,DS-PR,iccma15,118030__334_37__0_7_162__390956103,NO
solution,DS-PR,iccma15,1182638__754_34__0_1_2__188042652,NO
solution,DS-PR,iccma15,1187240__311_65__0_5_3916__1661971321,YES
solution,DS-PR,iccma15,120071__400__1_2_3__68,NO
solution,DS-PR,iccma15,120124__400__1_1_2__77,NO
solution,DS-PR,iccma15,120151__400__2_2_4__11,NO
solution,DS-PR,iccma15,120189__400__5_5_7__68,NO
solution,DS-PR,iccma15,120283__400__5_5_7__38,NO
solution,DS-PR,iccma15,120304__400__0_1_1__11,NO
solution,DS-PR,iccma15,120323__400__0_1_1__55,NO
solution,DS-PR,iccma15,120336__400__0_1_1__67,NO
solution,DS-PR,iccma15,1251262__780_20__0_1_2__-81345856,NO
solution,DS-PR,iccma15,131311__400__1_1_2__13,NO
solution,DS-PR,iccma15,136355__400__0_1_1__21,NO
solution,DS-PR,iccma15,136916__400__2_4_7__18,NO
solution,DS-PR,iccma15,141744__500_14__0_1_1__1497926930,NO
solution,DS-PR,iccma15,142989__400__6_6_8__78,NO
solution,DS-PR,iccma15,143482__400__2_2_3__88,NO
solution,DS-PR,iccma15,143667__400__4_4_6__37,NO
solution,DS-PR,iccma15,147754__315_2__2_2_4__2000466022,NO
solution,DS-PR,iccma15,14974572__457_345__0_20_222__-780398811,NO
solution,DS-PR,iccma15,149836__393_63__0_2_44__1706985912,NO
solution,DS-PR,iccma15,153075__400__2_2_3__79,NO
solution,DS-PR,iccma15,153111__499_16__0_4_18__-1668271218,NO
solution,DS-PR,iccma15,153148__400__3_3_6__22,NO
solution,DS-PR,iccma15,1539728__299__3_3_4__1479392692,NO
solution,DS-PR,iccma15,1627996__755_46__0_3_12__1893213173,NO
solution,DS-PR,iccma15,162947__189_100__0_1_800__-2139321847,NO
solution,DS-PR,iccma15,1688016__289__2_2_3__1711063037,YES
solution,DS-PR,iccma15,1753793__671_617__4_4_18__-1363490400,NO
solution,DS-PR,iccma15,1758658__795_42__0_2_7__-1202098545,NO
solution,DS-PR,iccma15,175963__400__3_4_5__25,YES
solution,DS-PR,iccma15,176544__442_39__0_2_6__-1119795536,NO
solution,DS-PR,iccma15,176618__243_1__0_1_1__-528315330,NO
solution,DS-PR,iccma15,177161__455_4__0_1_3__-1069061722,NO
solution,DS-PR,iccma15,1818982__769_48__0_4_190__1676631657,NO
solution,DS-PR,iccma15,182202__400__2_2_3__5,YES
solution,DS-PR,iccma15,1828893__778_49__0_1_6__365380386,NO
solution,DS-PR,iccma15,187213__400__4_4_6__55,NO
solution,DS-PR,iccma15,1879197__595_301__192_192_5274__794362872,NO
solution,DS-PR,iccma15,189903__400__1_1_2__58,NO
solution,DS-PR,iccma15,190362__400__2_2_3__54,YES
solution,DS-PR,iccma15,19040260__507_416__16_16_90__-575628667,NO
solution,DS-PR,iccma15,1925487__837_38__0_1_3__398360463,NO
solution,DS-PR,iccma15,192775__400__3_4_5__38,NO
solution,DS-PR,iccma15,192918__400__2_2_3__66,NO
